Date,Open,High,Low,Close,Adj Close,Volume,Log_Ret,Volatility
2018-06-01,272.4100036621094,273.94000244140625,272.3299865722656,273.6000061035156,263.01885986328125,71258400,,
2018-06-04,274.5299987792969,275.19000244140625,274.260009765625,274.8999938964844,264.2685852050781,45385200,0.004740164911957537,
2018-06-05,275.04998779296875,275.5299987792969,274.17999267578125,275.1000061035156,264.46087646484375,51135000,0.0007273171485391942,
2018-06-06,275.7900085449219,277.5199890136719,275.0899963378906,277.3999938964844,266.6719055175781,62732200,0.008325795761088207,
2018-06-07,277.95001220703125,278.2799987792969,276.3399963378906,277.3699951171875,266.6430969238281,72969400,-0.00010814852973372621,
2018-06-08,276.8500061035156,278.25,276.6600036621094,278.19000244140625,267.431396484375,72139700,0.002952004907865754,
2018-06-11,278.44000244140625,279.3699951171875,278.30999755859375,278.55999755859375,267.7870178222656,58892500,0.001329124999213643,
2018-06-12,279.0299987792969,279.3299865722656,278.19000244140625,278.9200134277344,268.1331787109375,72329000,0.0012915832391962585,
2018-06-13,279.19000244140625,279.4800109863281,277.79998779296875,278.0299987792969,267.2775573730469,79070600,-0.003196033347797097,
2018-06-14,279.010009765625,279.3299865722656,278.05999755859375,278.7300109863281,267.9504699707031,77097600,0.0025145935900984335,
2018-06-15,276.6000061035156,277.510009765625,275.3500061035156,277.1300048828125,267.6086730957031,120041600,-0.0057568829444289435,
2018-06-18,275.489990234375,276.70001220703125,274.95001220703125,276.55999755859375,267.0582275390625,52917600,-0.0020589410069597174,
2018-06-19,274.0,275.75,273.5299987792969,275.5,266.03466796875,97531500,-0.0038401581926364673,
2018-06-20,276.2699890136719,276.7200012207031,275.5899963378906,275.9700012207031,266.4884948730469,53785500,0.0017045399875246503,
2018-06-21,275.9599914550781,275.9800109863281,273.67999267578125,274.239990234375,264.8179626464844,71061400,-0.006288568780855549,
2018-06-22,275.6600036621094,275.7900085449219,274.489990234375,274.739990234375,265.30078125,54898500,0.0018215605524504461,
2018-06-25,273.44000244140625,273.6199951171875,269.1000061035156,271.0,261.6892395019531,137854200,-0.013706339472387726,
2018-06-26,271.6400146484375,272.55999755859375,270.7900085449219,271.6000061035156,262.2686462402344,68547400,0.0022115972772832767,
2018-06-27,272.260009765625,273.8699951171875,269.17999267578125,269.3500061035156,260.0959167480469,105110700,-0.008318746370276053,
2018-06-28,269.2900085449219,271.75,268.489990234375,270.8900146484375,261.5830078125,76650500,0.005701216707823484,
2018-06-29,272.1199951171875,273.6600036621094,271.1499938964844,271.2799987792969,261.95965576171875,97592500,0.0014386048230611169,
2018-07-02,269.510009765625,272.0400085449219,269.239990234375,271.8599853515625,262.51971435546875,63554800,0.0021356807072243403,
2018-07-03,272.8699951171875,272.9800109863281,270.4200134277344,270.8999938964844,261.5926513671875,42187100,-0.003537447464279723,
2018-07-05,272.1700134277344,273.17999267578125,270.9599914550781,273.1099853515625,263.7266845703125,56925900,0.00812486423702682,
2018-07-06,273.1400146484375,275.8399963378906,272.7099914550781,275.4200134277344,265.9573669433594,66493700,0.008422663255079442,
2018-07-09,276.54998779296875,277.9599914550781,276.5,277.8999938964844,268.3522033691406,50550400,0.008964060732821678,
2018-07-10,278.4100036621094,279.010009765625,278.0799865722656,278.8999938964844,269.3177795410156,51966800,0.003591957963733901,
2018-07-11,277.1499938964844,278.0400085449219,276.5199890136719,276.8599853515625,267.347900390625,77054700,-0.007341362398798512,
2018-07-12,278.2799987792969,279.42999267578125,277.6000061035156,279.3699951171875,269.7716979980469,60124700,0.009025140287613701,
2018-07-13,279.1700134277344,279.92999267578125,278.6600036621094,279.5899963378906,269.9841003417969,48216000,0.0007871806047899389,
2018-07-16,279.6400146484375,279.79998779296875,278.8399963378906,279.3399963378906,269.7427062988281,48201000,-0.0008945664750428539,
2018-07-17,278.4700012207031,280.9100036621094,278.4100036621094,280.4700012207031,270.8338623046875,52315500,0.004037106955921009,
2018-07-18,280.55999755859375,281.17999267578125,280.05999755859375,281.05999755859375,271.40362548828125,44593500,0.0021013892624929227,
2018-07-19,280.30999755859375,280.739990234375,279.4599914550781,280.0,270.3800354003906,61412100,-0.0037785578169255564,
2018-07-20,279.7699890136719,280.4800109863281,279.5,279.67999267578125,270.0710144042969,82337700,-0.0011435368899324159,
